Timestamp,FPS
1769973363286,19.52
1769973363622,26.18
1769973363957,28.93
1769973364279,30.26
1769973364603,30.70
1769973364929,30.68
1769973365265,30.24
1769973365599,30.12
1769973365935,29.84
1769973366274,29.63
1769973366611,29.70
1769973366946,29.81
1769973367285,29.68
1769973367622,29.71
1769973367965,29.38
1769973368302,29.52
1769973368641,29.43
1769973368982,29.35
1769973369323,29.33
1769973369661,29.60
1769973370000,29.50
1769973370338,29.52
1769973370673,29.76
1769973371013,29.64
1769973371350,29.59
1769973371688,29.57
1769973372028,29.50
1769973372369,29.35
1769973372707,29.56
1769973373051,29.30
1769973373388,29.56
1769973373726,29.56
1769973374064,29.64
1769973374404,29.51
1769973374744,29.39
1769973375083,29.46
1769973375417,29.77
1769973375757,29.46
1769973376096,29.48
1769973376436,29.43
1769973376775,29.53
1769973377115,29.42
1769973377451,29.63
1769973377789,29.56
1769973378127,29.57
1769973378465,29.55
1769973378806,29.44
1769973379141,29.63
1769973379481,29.53
1769973379822,29.43
1769973380156,29.72
1769973380492,29.76
1769973380830,29.67
1769973381173,29.33
1769973381510,29.53
1769973381847,29.65
1769973382183,29.78
1769973382524,29.45
1769973382860,29.61
1769973383206,29.06
1769973383541,29.52
1769973383878,29.63
1769973384219,29.49
1769973384553,29.75
1769973384886,30.00
1769973385222,29.94
1769973385559,29.68
1769973385900,29.49
1769973386234,29.78
1769973386569,29.75
1769973386910,29.49
1769973387246,29.65
1769973387583,29.67
1769973387912,30.15
1769973388248,29.97
1769973388588,29.59
1769973388926,29.56
1769973389266,29.47
1769973389604,29.57
1769973389948,29.33
1769973390289,29.32
1769973390629,29.41
1769973390967,29.52
1769973391304,29.63
1769973391643,29.56
1769973391982,29.47
1769973392321,29.57
1769973392661,29.48
1769973392999,29.56
1769973393345,29.24
1769973393683,29.60
1769973394020,29.66
1769973394359,29.64
1769973394699,29.50
1769973395038,29.47
1769973395371,29.82
1769973395712,29.48
1769973396049,29.69
1769973396385,29.79
1769973396724,29.53
1769973397063,29.54
1769973397404,29.36
1769973397743,29.47
1769973398083,29.38
1769973398419,29.61
1769973398758,29.61
1769973399095,29.65
1769973399434,29.53
1769973399773,29.48
1769973400108,29.75
1769973400449,29.44
1769973400791,29.25
1769973401134,29.16
1769973401474,29.40
1769973401812,29.62
1769973402153,29.47
1769973402489,29.73
1769973402829,29.52
1769973403168,29.53
1769973403505,29.59
1769973403839,29.83
1769973404176,29.80
1769973404512,29.81
1769973404853,29.46
1769973405191,29.54
1769973405530,29.51
1769973405865,29.73
1769973406200,29.73
1769973406538,29.66
1769973406877,29.60
1769973407214,29.67
1769973407553,29.51
1769973407891,29.55
1769973408230,29.60
1769973408574,30.32
1769973408911,29.90
1769973409251,29.56
1769973409591,29.49
1769973409930,31.63
1769973410266,30.30
1769973410604,29.79
1769973410941,29.79
1769973411277,29.85
1769973411613,29.80
1769973411951,29.62
1769973412288,29.60
1769973412627,29.51
1769973412965,29.67
1769973413305,29.41
1769973413642,29.57
1769973413984,29.38
1769973414324,29.38
1769973414661,29.60
1769973415001,29.53
1769973415339,29.53
1769973415671,29.81
1769973416009,29.81
1769973416348,29.56
1769973416686,29.61
1769973417029,29.34
1769973417363,29.72
1769973417702,29.62
1769973418042,29.56
1769973418384,29.35
1769973418721,29.56
1769973419063,29.33
1769973419399,29.62
1769973419736,29.66
1769973420075,29.53
1769973420414,29.49
1769973420755,29.43
1769973421092,29.63
1769973421433,29.51
1769973421771,29.51
1769973422112,29.41
1769973422450,29.48
1769973422791,29.49
1769973423140,28.87
1769973423477,29.46
1769973423819,29.22
1769973424153,29.65
1769973424491,29.63
1769973424827,29.74
1769973425168,29.41
1769973425499,30.42
1769973425840,29.88
1769973426178,29.67
1769973426515,29.71
1769973426848,29.89
1769973427186,29.70
1769973427525,29.54
1769973427860,29.76
1769973428203,29.46
1769973428542,29.41
1769973428879,29.59
1769973429220,29.46
1769973429558,29.62
1769973429892,29.83
1769973430229,29.79
1769973430566,29.69
1769973430903,29.65
1769973431239,29.80
1769973431575,29.79
1769973431914,29.63
1769973432252,29.55
1769973432589,29.68
1769973432927,29.73
1769973433266,29.63
1769973433606,29.47
1769973433944,29.64
1769973434284,29.37
1769973434624,29.36
1769973434962,29.53
1769973435300,29.61
1769973435635,29.72
1769973435973,29.62
1769973436312,29.58
1769973436649,29.75
1769973436983,29.79
1769973437323,29.55
1769973437663,29.48
1769973438002,29.56
1769973438339,29.59
1769973438682,29.29
1769973439018,29.57
1769973439357,29.61
1769973439697,29.43
1769973440038,29.50
1769973440374,29.75
1769973440712,29.58
1769973441051,29.54
1769973441388,29.75
1769973441727,29.54
1769973442064,29.57
1769973442402,29.56
1769973442744,29.33
1769973443085,29.39
1769973443424,29.57
1769973443760,29.62
1769973444096,29.73
1769973444436,29.58
1769973444775,29.50
1769973445114,29.50
1769973445444,30.24
1769973445785,29.65
1769973446121,29.70
1769973446464,29.35
1769973446800,29.61
1769973447139,29.54
1769973447474,29.78
1769973447815,29.48
1769973448157,29.35
1769973448493,29.64
1769973448837,29.31
1769973449174,29.54
1769973449512,29.67
1769973449853,29.46
1769973450194,29.39
1769973450535,29.29
1769973450877,29.71
1769973451216,29.57
1769973451550,29.85
1769973451891,29.55
1769973452228,29.75
1769973452567,29.45
1769973452904,29.59
1769973453249,29.32
1769973453586,29.51
1769973453925,29.44
1769973454261,29.68
1769973454598,29.72
1769973454935,29.70
1769973455273,29.67
1769973455609,29.79
1769973455943,29.93
1769973456280,29.68
1769973456616,29.67
1769973456952,29.72
1769973457289,29.70
1769973457623,29.83
1769973457965,29.42
1769973458305,29.41
1769973458643,29.60
1769973458980,29.76
1769973459320,29.50
1769973459656,29.67
1769973459997,29.46
1769973460337,29.38
1769973460673,29.66
1769973461010,29.70
1769973461348,29.64
1769973461685,29.65
1769973462024,29.62
1769973462363,29.57
1769973462698,29.60
1769973463041,29.35
1769973463376,29.70
1769973463711,29.80
1769973464050,29.68
1769973464389,29.58
1769973464726,29.65
1769973465061,29.75
1769973465399,29.75
1769973465737,29.64
1769973466077,29.56
1769973466414,29.60
1769973466750,29.77
1769973467092,29.41
1769973467429,29.55
1769973467768,29.51
1769973468106,29.56
1769973468445,29.48
1769973468785,29.49
1769973469121,29.66
1769973469459,29.64
1769973469796,29.62
1769973470134,29.58
1769973470469,29.86
