Timestamp,FPS
1769973470805,29.79
1769973471144,29.55
1769973471480,29.72
1769973471818,29.68
1769973472160,29.42
1769973472497,29.64
1769973472838,29.51
1769973473179,29.38
1769973473518,29.53
1769973473858,29.49
1769973474194,29.66
1769973474564,28.06
1769973474899,30.28
1769973475235,29.91
1769973475574,29.70
1769973475906,29.94
1769973476240,29.95
1769973476579,29.64
1769973476919,29.51
1769973477256,29.64
1769973477598,29.39
1769973477934,29.63
1769973478291,30.88
1769973478633,29.83
1769973478969,29.86
1769973479306,29.72
1769973479639,29.95
1769973479980,29.61
1769973480318,29.64
1769973480658,29.47
1769973480995,29.56
1769973481339,29.36
1769973481677,29.50
1769973482035,29.31
1769973482371,29.70
1769973482710,29.56
1769973483049,29.54
1769973483393,29.32
1769973483730,29.69
1769973484068,29.79
1769973484407,29.70
1769973484746,29.48
1769973485084,29.61
1769973485424,29.57
1769973485761,29.58
1769973486102,29.45
1769973486441,29.48
1769973486779,29.50
1769973487118,29.45
1769973487453,29.67
1769973487791,29.67
1769973488131,29.54
1769973488468,29.76
1769973488801,29.84
1769973489142,29.59
1769973489478,29.77
1769973489817,29.54
1769973490151,29.81
1769973490489,29.70
1769973490827,29.63
1769973491163,29.73
1769973491501,29.63
1769973491839,29.64
1769973492177,29.59
1769973492539,31.39
1769973492877,30.15
1769973493216,29.83
1769973493556,29.66
1769973493895,29.46
1769973494232,29.54
1769973494571,29.56
1769973494907,29.72
1769973495242,29.79
1769973495579,29.71
1769973495915,29.82
1769973496256,29.50
1769973496591,29.79
1769973496929,29.65
1769973497265,29.73
1769973497604,29.56
1769973497944,29.45
1769973498279,29.71
1769973498611,29.90
1769973498949,29.76
1769973499285,29.71
1769973499622,29.78
1769973499965,29.39
1769973500302,29.60
1769973500642,29.55
1769973500981,29.51
1769973501319,29.61
1769973501657,29.62
1769973501994,29.70
1769973502332,29.57
1769973502669,29.64
1769973503008,29.54
1769973503354,30.61
1769973503690,30.13
1769973504028,29.74
1769973504365,29.71
1769973504704,29.54
1769973505041,29.68
1769973505374,30.06
1769973505714,29.61
1769973506057,29.27
1769973506407,30.43
1769973506732,30.62
1769973507070,29.94
1769973507413,29.47
1769973507753,29.39
1769973508088,29.66
1769973508426,29.60
1769973508765,29.61
1769973509110,29.26
1769973509447,29.49
1769973509791,29.28
1769973510126,29.53
1769973510467,29.41
1769973510804,29.66
1769973511141,29.70
1769973511478,29.69
1769973511814,29.74
1769973512152,29.72
1769973512488,29.80
1769973512827,29.68
1769973513164,29.68
1769973513505,29.47
1769973513841,29.65
1769973514176,29.75
1769973514513,29.70
1769973514851,29.64
1769973515189,29.67
1769973515529,29.53
1769973515867,29.52
1769973516202,29.71
1769973516556,30.14
1769973516893,29.86
1769973517231,29.66
1769973517571,29.53
1769973517909,29.85
1769973518247,29.67
1769973518585,29.56
1769973518922,29.69
1769973519258,29.80
1769973519592,30.02
1769973519932,29.60
1769973520267,29.81
1769973520604,29.71
1769973520941,29.72
1769973521280,29.70
1769973521615,29.83
1769973521952,29.72
1769973522290,29.62
1769973522627,29.69
1769973522966,29.57
1769973523305,29.50
1769973523642,29.61
1769973523978,29.86
1769973524319,29.50
1769973524656,29.67
1769973524991,29.77
1769973525330,29.65
1769973525667,29.63
1769973526003,29.77
1769973526340,29.76
1769973526689,30.49
1769973527026,29.97
1769973527358,30.08
1769973527692,30.05
1769973528030,29.70
1769973528370,29.49
1769973528706,29.68
1769973529043,29.64
1769973529378,29.71
1769973529758,27.98
1769973530074,30.29
1769973530408,30.13
1769973530743,29.96
1769973531085,29.49
1769973531427,29.41
1769973531766,29.45
1769973532108,29.32
1769973532442,29.71
1769973532778,29.77
1769973533114,29.78
1769973533450,29.79
1769973533787,29.70
1769973534127,29.48
1769973534462,29.68
1769973534799,29.70
1769973535135,29.77
1769973535473,29.67
1769973535811,30.05
1769973536150,29.72
1769973536489,29.60
1769973536859,28.36
1769973537173,30.49
1769973537513,29.88
1769973537855,29.50
1769973538193,29.55
1769973538533,29.51
1769973538872,29.57
1769973539211,29.56
1769973539548,29.73
1769973539890,29.33
1769973540227,29.63
1769973540568,29.43
1769973540901,29.79
1769973541242,29.48
1769973541580,29.57
1769973541916,29.75
1769973542251,32.13
1769973542593,30.25
1769973542930,29.82
1769973543274,29.25
1769973543611,29.54
1769973543949,29.54
1769973544289,29.63
1769973544624,29.80
1769973544961,29.82
1769973545301,29.51
1769973545638,29.63
1769973545978,29.48
1769973546311,29.81
1769973546647,29.77
1769973546985,29.70
1769973547323,29.64
1769973547659,29.68
1769973547995,29.72
1769973548333,29.64
1769973548673,29.52
1769973549013,29.43
1769973549349,29.63
1769973549682,29.96
1769973550023,29.50
1769973550360,29.61
1769973550697,29.66
1769973551037,29.58
1769973551373,29.59
1769973551710,29.69
1769973552051,29.48
1769973552402,30.68
1769973552737,30.19
1769973553075,29.85
1769973553414,29.62
1769973553754,29.53
1769973554094,29.49
1769973554428,29.79
1769973554765,29.71
1769973555101,29.71
1769973555441,29.54
1769973555776,29.71
1769973556113,29.69
1769973556450,29.68
1769973556786,29.74
1769973557127,29.43
1769973557466,29.61
1769973557802,29.74
1769973558142,29.53
1769973558481,29.56
1769973558821,29.47
1769973559160,29.46
1769973559495,29.69
1769973559831,29.69
1769973560167,29.64
1769973560509,29.32
1769973560847,29.64
1769973561186,29.55
1769973561519,29.83
1769973561861,29.43
1769973562200,29.41
1769973562535,29.77
1769973562874,29.57
1769973563220,30.91
1769973563560,30.04
1769973563895,29.99
1769973564234,29.68
1769973564573,29.60
1769973564909,29.81
1769973565249,29.55
1769973565589,29.42
1769973565922,29.93
1769973566262,29.63
1769973566613,34.48
1769973566951,31.32
1769973567291,30.06
1769973567635,29.48
1769973567973,29.53
1769973568313,29.47
1769973568650,29.64
1769973568988,29.67
1769973569322,29.83
1769973569662,29.58
1769973570000,29.57
1769973570335,29.67
1769973570673,29.60
1769973571012,29.52
1769973571351,29.45
1769973571684,29.84
1769973572028,29.35
1769973572369,29.46
1769973572707,29.53
1769973573042,29.61
1769973573384,29.39
1769973573723,29.60
1769973574058,29.96
1769973574397,29.72
1769973574736,29.53
1769973575074,29.55
1769973575412,29.55
1769973575747,29.77
1769973576084,29.82
1769973576422,29.65
1769973576786,29.01
1769973577103,30.95
1769973577451,29.66
1769973577789,29.73
1769973578132,29.38
1769973578473,29.39
1769973578814,29.33
1769973579153,29.52
1769973579492,29.54
1769973579831,29.45
1769973580173,29.31
1769973580510,29.62
1769973580846,29.79
1769973581183,29.73
1769973581519,29.77
1769973581850,30.42
1769973582192,29.91
1769973582528,29.92
1769973582863,29.89
1769973583204,29.50
1769973583547,30.50
1769973583883,29.99
1769973584219,29.83
1769973584556,29.75
1769973584895,29.57
1769973585232,29.62
1769973585569,29.72
1769973585905,29.75
1769973586241,29.71
1769973586575,29.86
1769973586912,29.77
1769973587249,29.76
1769973587586,29.68
1769973587924,29.68
1769973588263,29.53
1769973588601,29.58
1769973588940,29.54
1769973589278,29.61
1769973589620,29.43
1769973589960,29.40
1769973590299,29.52
1769973590633,29.80
1769973590974,29.51
1769973591310,29.73
1769973591647,29.68
1769973591982,29.82
1769973592320,29.69
1769973592658,29.56
1769973592995,29.64
1769973593333,29.61
1769973593669,29.71
1769973594007,29.61
1769973594343,29.71
1769973594682,29.61
1769973595019,29.65
1769973595357,29.58
1769973595701,29.41
1769973596038,29.62
1769973596376,29.57
1769973596715,29.51
1769973597053,29.57
1769973597391,29.58
1769973597728,29.69
1769973598067,29.56
1769973598406,29.59
1769973598746,29.42
1769973599089,29.34
